Num_Threads,std:sort_time,min_max_quicksort_time,min_max_quicksort_speedup,__gnu_parallel_time,__gnu_parallel_speedup
1,2.233,1.463,1.52632,2.387,0.935484
2,2.2,0.755,2.91391,0.817,2.69278
3,2.214,0.537,4.12291,0.583,3.7976
4,2.215,0.441,5.02268,0.443,5
5,2.21,0.393,5.62341,0.47,4.70213
6,2.196,0.377,5.82493,0.393,5.58779
7,2.221,0.345,6.43768,0.345,6.43768
8,2.218,0.345,6.42898,0.316,7.01899
9,2.228,0.315,7.07302,0.314,7.09554
10,2.238,0.299,7.48495,0.283,7.90813
11,2.234,0.298,7.49665,0.284,7.86619
12,2.233,0.304,7.3454,0.264,8.45833
13,2.252,0.284,7.92958,0.252,8.9365
14,2.252,0.284,7.92958,0.236,9.54237
15,2.251,0.282,7.98228,0.237,9.49789
16,2.25,0.271,8.30259,0.229,9.82532
17,2.283,0.28,8.15357,0.239,9.5523
18,2.267,0.284,7.98239,0.251,9.03187
19,2.25,0.3,7.5,0.235,9.57446
20,2.252,0.28,8.04286,0.245,9.19183
21,2.266,0.282,8.03547,0.235,9.64255
22,2.224,0.276,8.05797,0.252,8.82539
23,2.248,0.283,7.94346,0.251,8.95617
24,2.294,0.283,8.10601,0.236,9.72034
25,2.255,0.298,7.56711,0.235,9.59575
26,2.288,0.283,8.08481,0.252,9.07936
27,2.297,0.298,7.70805,0.237,9.69198
28,2.317,0.29,7.98966,0.23,10.0739
29,2.299,0.305,7.53771,0.246,9.34553
30,2.307,0.283,8.15194,0.241,9.57262
31,2.297,0.283,8.11661,0.236,9.73305
32,2.312,0.289,8,0.23,10.0522
33,2.32,0.305,7.60656,0.244,9.5082
34,2.285,0.293,7.79864,0.241,9.48133
35,2.299,0.294,7.81972,0.241,9.53942
36,2.266,0.3,7.55333,0.251,9.02789
37,2.252,0.297,7.58249,0.251,8.97211
38,2.272,0.299,7.59866,0.251,9.0518
39,2.334,0.29,8.04828,0.229,10.1921
40,2.271,0.3,7.57,0.242,9.38429
41,2.302,0.283,8.13428,0.251,9.17132
42,2.332,0.299,7.79933,0.244,9.55738
43,2.3,0.283,8.12721,0.235,9.78724
44,2.281,0.295,7.73221,0.24,9.50417
45,2.318,0.284,8.16197,0.262,8.84733
46,2.287,0.294,7.77891,0.251,9.11156
47,2.29,0.299,7.65886,0.242,9.46281
48,2.309,0.311,7.42444,0.251,9.19921
49,2.314,0.299,7.73913,0.269,8.60223
50,2.317,0.314,7.37898,0.255,9.08627
51,2.257,0.3,7.52333,0.252,8.95635
52,2.276,0.298,7.63758,0.255,8.92549
53,2.26,0.311,7.26688,0.254,8.89764
54,2.304,0.313,7.36102,0.267,8.62921
55,2.32,0.299,7.7592,0.251,9.24303
56,2.321,0.282,8.23049,0.271,8.56458
57,2.323,0.284,8.17958,0.274,8.47811
58,2.325,0.301,7.72426,0.248,9.375
59,2.263,0.298,7.59396,0.277,8.16968
60,2.28,0.299,7.62542,0.267,8.53933
61,2.33,0.312,7.46795,0.251,9.28286
62,2.332,0.299,7.79933,0.251,9.29084
63,2.269,0.283,8.01767,0.266,8.53007
64,2.302,0.307,7.49837,0.243,9.47325
65,2.364,0.288,8.20833,0.267,8.85393
66,2.331,0.299,7.79599,0.267,8.73034
67,2.347,0.3,7.82333,0.25,9.388
68,2.317,0.298,7.77517,0.274,8.4562
69,2.324,0.298,7.79865,0.251,9.25897
70,2.357,0.283,8.32862,0.271,8.69742
71,2.279,0.283,8.053,0.269,8.47212
72,2.308,0.283,8.15548,0.273,8.45421
73,2.311,0.304,7.60198,0.262,8.82061
74,2.308,0.298,7.74497,0.267,8.64419
75,2.347,0.3,7.82333,0.268,8.75747
76,2.32,0.282,8.22695,0.267,8.68914
77,2.331,0.312,7.47115,0.268,8.69776
78,2.322,0.283,8.20495,0.267,8.69663
79,2.321,0.3,7.73667,0.251,9.24702
80,2.36,0.299,7.89298,0.262,9.00764
81,2.323,0.283,8.20848,0.267,8.70038
82,2.347,0.287,8.1777,0.262,8.95801
83,2.409,0.318,7.57548,0.282,8.54255
84,2.528,0.311,8.12862,0.267,9.46816
85,2.543,0.331,7.68278,0.277,9.18051
86,2.511,0.311,8.07396,0.267,9.4045
87,2.546,0.331,7.69185,0.299,8.51505
88,2.577,0.315,8.18095,0.298,8.64765
89,2.58,0.324,7.96296,0.278,9.28058
90,2.476,0.314,7.88535,0.283,8.74912
91,2.507,0.329,7.62006,0.269,9.3197
92,2.38,0.298,7.98658,0.267,8.91386
93,2.451,0.346,7.08382,0.298,8.22484
94,2.446,0.316,7.74051,0.273,8.95971
95,2.391,0.301,7.94352,0.273,8.75824
96,2.268,0.33,6.87273,0.267,8.49438
97,2.364,0.314,7.52867,0.268,8.8209
98,2.333,0.298,7.82886,0.267,8.73783
99,2.392,0.314,7.61784,0.267,8.95879
100,2.38,0.299,7.95987,0.267,8.91386
101,2.36,0.314,7.51592,0.267,8.83895
102,2.293,0.31,7.39678,0.288,7.9618
103,2.305,0.291,7.92096,0.258,8.93411
104,2.289,0.306,7.48039,0.262,8.73664
105,2.308,0.315,7.32699,0.267,8.64419
106,2.321,0.299,7.76254,0.267,8.69288
107,2.316,0.298,7.77182,0.267,8.67415
108,2.308,0.313,7.3738,0.268,8.61194
109,2.341,0.3,7.80333,0.28,8.36072
110,2.335,0.304,7.68092,0.278,8.39928
111,2.302,0.283,8.13428,0.283,8.13428
112,2.298,0.298,7.71141,0.268,8.57463
113,2.395,0.329,7.27964,0.268,8.93656
114,2.342,0.303,7.72937,0.273,8.57875
115,2.358,0.305,7.73115,0.26,9.06923
116,2.291,0.3,7.63667,0.266,8.61278
117,2.302,0.299,7.699,0.268,8.58956
118,2.318,0.291,7.96564,0.26,8.91539
119,2.321,0.298,7.78859,0.276,8.40942
120,2.319,0.298,7.78188,0.266,8.71804
121,2.299,0.299,7.68896,0.283,8.12368
122,2.286,0.3,7.62,0.267,8.5618
123,2.302,0.299,7.699,0.267,8.62172
124,2.305,0.307,7.50815,0.267,8.63296
125,2.287,0.304,7.52302,0.276,8.28623
126,2.324,0.287,8.09756,0.294,7.90476
127,2.291,0.299,7.66221,0.282,8.12411
128,2.332,0.299,7.79933,0.27,8.63704
